,СПИСОК УЧАСТНИКОВ,,,
,,,,
,П.П.,"Наименование организации, город, страна",Сфера деятельности,№ стенда
,1.,"A-sense Sp.Z.o.o., Польша","Поставщик высококачественных гранул хмеля, экстрактов хмеля и растительных экстрактов",34
,2.,"«BEERFACTORY» Пивоварня-ресторан, Новосибирск, Россия","Пивоварня, ресторан, бар",-
,3.,"BEER WEEKLY Газета, Санкт-Петербург, Россия",Газета,-
,4.,"CHINAMI, Челябинск, Россия",Российский производитель Азиатских снеков,146
,5.,"CRISPY NEWS, Москва, Россия",Актуальные новости пищевой промышленности,-
,6.,"GEO.PRO, Сочи, Россия","Крупнейший транснациональный проект, работающий с 2001 года, специализирующийся на профессиональной фото- и видеосъемке, медиа-продвижении, рекламе и организации мероприятий",-
,7.,"IT Future - Айти будущего, Сочи, Россия",Внедрение Битрикс24. Аналитика бизнеса. Автоматизация процессов. Техническая поддержка,111
,8.,"JKM, Красногорск, Россия","Профессиональная корпорация, специализирующаяся на комплексном проектировании, разработке, производстве, продаже, инжиниринговых услугах и импорте оборудования для пищевой промышленности и производства напитков",96
,9.,KRASPIVO.RU – Красноярский пивной портал,"Актуальная коммерческая информация о поставщиках и производителях пива, сидра, а также сопутствующих товарах и услугах в Красноярске и Красноярском крае",-
,10.,"OMNIA TECHNOLOGIES S.p.A, Краснодар, Россия","Ведущая компания в области автоматизации технологий производства и розлива вина, пива, алкогольных и безалкогольных напитков, молочной, пищевой и фармацевтической продукции",16
,11.,"ProfiBeer- портал пивного рынка, Воронеж, Россия","Деловой портал о пиве, людях, которые его варят и продают, и законах, по которым живет отрасль",22
,12.,"PROSOLOD, Санкт-Петербург, Россия",Продажа сырья для пивоварения,78
,13.,"«RealBrew» Журнал, Санкт-Петербург, Россия",Журнал о пиве и пивоварении,90
,14.,"«ТОВЕСОРБ» ООО, Уфа, Россия",Российский производитель порошковых силикагелей серии BriS,39
,15.,"«АВАНГАРД-АГРО» АО, пгт. Змиевка, Россия","Крупнейший в России производитель пивоваренного ячменя, солода, пшеницы и других зерновых культур.",63
,16.,"«АвтоГазТранс» ООО, Самара, Россия","Проектирование, изготовление и ввод в эксплуатацию оборудования, предназначенного для хранения, транспортировки, заправки и выдачи СО2 и его сервисное обслуживание",13
,17.,"«А и Т Акопяны» ООО, Дилижан, Армения","Пиво, изготовленное исключительно из натурального сырья и классическим способом",-
,18.,"«АЛЬЯНС» ТД», ООО, Подольск, Россия","Для оснащения заводов, пивоварен, магазинов, баров и ресторанов, поставляем холодильную технику, мебель, трубопроводную, запорную и регулирующую арматуру, как собственного производства, так и продукцию других компаний",73
,19.,"«АМАРАНТ» ООО, Москва, Россия","Наро-Фоминская пивоварня – сочетание немецких традиций, русской самобытности и современных технологий",-
,20.,"«АНГЕЛ ИСТ РУС» ООО, Данков, Россия",Один из крупнейших в мире производителей дрожжей,80
,21.,"«АРГОНАВТ ГРУПП» ООО, Москва, Россия",Проектирование пивоваренных заводов и изготовление технологического оборудования из нержавеющих марки сталей,35
,22.,"«АСТЕРА» ООО, Мурманск, Россия","Ресторанный бизнес, производство пива",-
,23.,"«АФАНАСИЙ» Частная пивоварня» ООО, Тверь, Россия","Производство пива, сидра, минеральной воды, безалкогольных напитков",-
,24.,"«БАВАРИЯ» Пивоваренный дом Группа компаний» ООО, «АГРОФИРМА ФАТ» ООО, 
  Владикавказ, Россия","Группа компаний «Пивоваренный дом «Бавария» – это крупнейшее предприятие в РСО-Алания, основными направлениями деятельности которого являются производство пива и безалкогольных напитков (ООО «АГРОФИРМА ФАТ»), сельское хозяйство (ООО «ФАТ-АГРО») и ресторанный бизнес (ООО «РЕСТОРАНЫ БАВАРИЯ»)",145
,25.,"«БАЛТИКА» Пивоваренная компания» ООО, Санкт-Петербург, Россия","Производство пива, производство хмеля, производство солода",36
,26.,"БЕЛСОЛОД ОАО, Иваново, Беларусь","Белорусское предприятие, специализирующееся на производстве ячменного пивоваренного солода: светлого, венского, карамельного, жженого",105
,27.,"БИЗНЕС ПИЩЕВЫХ ИНГРЕДИЕНТОВ, Черноголовка, Россия","Единственное издание в России, полностью посвященное различным аспектам производства, продвижения и применения ингредиентов во всех отраслях пищевой промышленности",-
,28.,"БИР РЕСУРС, Санкт-Петербург, Россия","Beer Resource предлагает ингредиенты необходимые для производства различных стилей пива и напитков, а также предоставляет доступ к передовым продуктам используемым в современном пивоварении",33
,29.,"БирШтадт Частная пивоварня, Нововоронеж, Россия","Производство живого, нефильтрованного, непастеризованного пива",-
,30.,"БОРЗ Ножи Мира, Москва, Россия",Борз – ножи мира,144
,31.,"«БОЧКАРИ» Компания, с. Бочкари, Россия","Производство и реализация натуральных напитков: пива, кваса, лимонадов, энергетических напитков, питьевых, минеральных и лечебно-столовых вод",-
,32.,"«БРАТЬЯ ХОПФЕН» ООО, Димитровград, Россия","Производство живого, нефильтрованного, фильтрованного непастеризованного светлого, темного пива, из натуральных ингредиентов",-
,33.,"БРЮВ КЭНИНГ СИСТЕМ, Великий Новгород, Россия",Производитель высокотехнологичных линий розлива напитков в алюминиевую банку и стекло,116
,34.,"«БУСТЕР РУС» ООО, п. Трехгорка, Россия","Компактные, полностью автоматизированные котлоагрегаты, оборудованные контрольно- измерительной аппаратурой",12
,35.,"«ВАЛЕННТА ВК» ООО, Москва, Россия","Услуги по подбору, продаже и поставкам различной лабораторной техники для больших и малых производств, относящихся к пищевой промышленности",110
,36.,"«ВЕСТЕР» ООО, Москва, Россия",Поставляем оборудование для пивзаводов из Чехии,75
,37.,"«ВОДОКОМФОРТ» фирма ООО, Москва, Россия","Комплексный инжиниринг и поставка полного спектра оборудования для основного производства и для вспомогательных систем теплоснабжения, водоснабжения, холодоснабжения",35
,38.,"«ВЫСОКОГОРНАЯ КЕЛЬСКАЯ ПИВОВАРНЯ» ООО, «ALPINE BREWERY GROUP», 
  пос. Ленингор, Южная Осетия, Россия",Производство пива,66
,39.,"«ГЕО-ИНЖИНИРИНГ ЮГ» ООО, Ростов-на-Дону, Россия","Мы поставляем комплектные линии для розлива газированных и негазированных безалкогольных напитков, пива и других пищевых жидкостей в ПЭТ, в стеклянные бутылки и в алюминиевые банки",14
,40.,"«ГРЕЙНРУС» ООО, Москва, Россия
  Генеральный партнёр Форума","Поставщик импортного и российского сырья для пивоваренной отрасли России, СНГ и Европы",71
,41.,"«ГРЕЙНФОРД-АГРО» ООО, Москва, Россия",Реализация сырья для пивоваренной промышленности,64
,42.,"ГРИНГОД, Мытищи, Россия","У нас вы можете приобрести солод, хмель, дрожжи, сахара и моющие средства",15
,43.,"«ДАРЬЯЛ» ВПБЗ ООО, Владикавказ, Россия
  Партнер «Официальная вода Форума»",Завод выпускает пивобезалкогольную продукцию высочайшего качества с использованием лучшего европейского и российского сырья,-
,44.,"«ДЕКО МИНЕРАЛС СНГ» ООО, Воронеж, Россия",Производство фильтровальных порошков и отбеливающих земель,32
,45.,"«ДЕРБЕНТСКАЯ ПИВОВАРЕННАЯ КОМПАНИЯ» ООО, с. Джалган, Россия",Производство пива,-
,46.,"«ДОН-ПОЛИМЕР» ООО, Воронеж, Россия",Производство термоусадочного колпачка из плёнки ПВХ для пивных кег,26
,47.,"«ДФильтр» ООО, Москва, Россия","Оборудование обеспечивает высокое качество подготовки или очистки воздуха, газов и жидкостей",17
,48.,"ЕРЕВАНСКОЕ ПИВО ЗАО, Ереван, Армения","Пиво, соки, компоты, минеральная вода, нектары, лимонады, варенье",-
,49.,"«ЗАВКОМ-ИНЖИНИРИНГ» ООО, Тамбов, Россия","Ведущая российская инжиниринговая компания, осуществляющая строительство объектов пищевой промышленности",60
,50.,"«ЗИП Сервис», Москва, Россия","Ведущий поставщик СОЛОДА, ХМЕЛЯ, ДРОЖЖЕЙ и другого сырья для пива, сидра, безалкогольных и крепких напитков. Официальный представитель ZIP TECH - европейского производителя ОБОРУДОВАНИЯ",21
,51.,"«ЗИРАКС» ООО, р.п. Светлый Яр, Россия",Пищевой кальций хлористый безводный гранулированный – эффективные решения по минерализации воды для пивоваренной индустрии,2
,52.,"«ИВАНОВСКАЯ ПИВОВАРНЯ» ООО, Иваново, Россия",Производство лагерного и элевого пива (всего более 10 сортов),-
,53.,"«Ижсинтез-Химпром ПК» ООО, Ижевск, Россия","Производство моющих и дезинфицирующих средств: бытовой химии, профессиональных моющих и дезинфицирующих средств",-
,54.,"«ИНДУСТРИЯ НАПИТКОВ» журнал, Санкт-Петербург, Россия","Издание для специалистов в сфере производства алкогольных, безалкогольных напитков и пива",10
,55.,"ИНОКС ОРЕНБУРГ, с. Ивановка, Россия",Создание пивоварен и производство оборудования,38
,56.,"«ЙИГИТОГЛУ РУС» ООО, Москва, Россия",Дистрибуция пищевых ингредиентов,130
,57.,"«ЙОГГУ» ООО, Ижевск, Россия",Орехи и ягоды в шоколаде,143
,58.,"Как Вы Это Привезли, ИП ЗАДУНАЙСКАЯ Д.А., Москва, Россия",Лучшие деликатесы со всего мира,153
,59.,"КАМЧАТСКИЙ УЛОВ, Москва, Россия",Продукты питания,155
,60.,"КАНЦЛЕРЪ ПЗ ООО, Воронеж, Россия",Производство пива и безалкогольной продукции под собственными торговыми марками и на контрактной основе,3
,61.,"КИЗЕЛЬГУР, Москва, Россия","Поставщик диатомитовой земли (кизельгура), ориентированный на промышленное применение, в пивной и масложировой отраслях",101
,62.,"«КИЗЕЛЬМАНН РУС» ООО, Москва, Россия",Оборудование для пищевой промышленности и сектора напитков во всем мире,20
,63.,"КОЛОМЕНСКАЯ ПИВОВАРНЯ, Москва, Россия",Производство пива и безалкогольных напитков,-
,64.,"КрафтБэнд Пивоварня, Ставрополь, Россия",Ремесленная пивоварня CRAFTBAND,148
,65.,"«КРИНИЦА» ОАО, Минск, Беларусь",Крупнейший производитель пива и кваса в Республике Беларусь,151
,66.,"Кропоткинский завод МиССП, Кропоткин, Россия","Кропоткинский завод МиССП выполняет комплексную поставку технологического оборудования для автоматических линий розлива и упаковки продуктов в ПЭТ, линии комплектуются оборудованием ведущих производителей в области",65
,67.,"«Кто есть Кто. ПИЩЕПРОМ + АПК России» Журнал, Санкт-Петербург, Россия","Международный товарно-брендовый журнал, отображающий: информацию о компаниях, работающих в таких отраслях как пищевая отрасль, напитки, перерабатывающая промышленность, ритейл, HoReCa, импорт, экспорт, АПК",-
,68.,"«КХС РУС» ООО (KHS GmbH), Москва, Россия",Дочерняя российская компания мирового лидера по производству оборудования для розлива напитков и упаковки для пищевой и непищевой промышленности,88
,69.,"«ЛАВКА-ПАСЕЧНИКА» ООО, Горячий Ключ, Россия",Производство сидра и прочих плодовых вин,1
,70.,"«МББ ГРУПП» ООО, Москва, Россия","Уже более 50 лет мы занимаемся хмелеводством, поставляя отборный хмель и солод напрямую от европейских производителей",-
,71.,"«МИЛЛФАУЗ» ООО, Минеральные Воды, Россия",Производство пива и безалкогольных напитков,149
,72.,"«МИНУСИНСКИЙ ПИВОВАРЕННЫЙ ЗАВОД» ООО, Минусинск, Россия","Производство пива и кваса, а так же безалкогольных напитков и природной питьевой воды",-
,73.,"«МПК» Пивоваренный завод Майкопский ООО, Майкоп, Россия",Производство пива и безалкогольных напитков,-
,74.,"НЕЛДЕН ИНДАСТРИ С.Р.Л., Италия","Nelden Industry srl поставляет комплектные линии розлива стекла, ПЭТ-бутылок и банок",82
,75.,"«НовИТ» ООО, Иркутск, Россия",Информационные технологии,102
,76.,"«НОВОИНТЕХ» ЗАО, Минск, Беларусь",Технологии и продукты для крафтовых сортов пива,118
,77.,"НОВЫЕ ПИВОВАРНИ, Санкт-Петербург, Россия","Производство и дистрибуция пива, запуск новых брендов пива на заводах и пивоварнях, консалтинг",-
,78.,"«НОМАС» ООО (входит в ООО «УралСпецТранс»), Миасс, Россия",С 1993 года является одним из ведущих российских производителей заводов «под ключ»,62
,79.,"«НордАкваТрейд» ООО, Санкт-Петербург, Россия",ООО «НордАкваТрейд» занимается поставками комплектных линий розлива и запасных частей,70
,80.,"ОКИЛ-САТО, Санкт-Петербург, Россия","Полиграфическое производство, специализирующееся на печати самоклеящихся, термоусадочных, вплавляемых, промо и других этикетках",91
,81.,"«Оператор-ЦРПТ» ООО, Москва Россия","Оператор государственной информационной системы мониторинга за оборотом товаров, подлежащих обязательной маркировке средствами идентификации",-
,82.,"«ОРЕЛПИЩЕМАШ» Производственно-коммерческий центр ООО, Орел, Россия",Проектирование и изготовление оборудования для пищевой промышленности,27
,83.,"Отдых. на Кубани.ру, Краснодар, Россия",Специализированный интернет-портал и глянцевый журнал об отдыхе в Краснодарском крае и Адыгее,-
,84.,"ПАРМАТЕК ООО, Москва, Россия","Оборудование розлива, упаковки и фильтрации для напитков, пищевой и пивной промышленности, комплектующие и запчасти",25
,85.,"ПАРУС ООО, Ресторан Пивоварня Старград, Сочи, Россия","Варим пиво в Сочи по классическим чешским рецептам, создавая атмосферу настоящей пивоварни в европейском стиле",-
,86.,"«ПИВЗАВОД – МАРКСОВСКИЙ» ООО, Маркс, Россия",Производство и продажа пива,-
,87.,"«ПИВОВАРНЯ» ООО, Воронежская область, Россия",Производство пива,-
,88.,"«ПИВОВАРНЯ КОЖЕВНИКОВО» ООО, с. Кожевниково, Россия",Производство пива и безалкогольных напитков,-
,89.,"«ПИВОВАРНЯ С» ООО, Воронеж, Россия","Старейшая в Воронеже частная пивоварня осуществляющая производство напитков традиционного, оригинального и крафтового направления",-
,90.,"«ПИВОВАРНЯ ЯНА ШУРАНА» ООО, Красноярск, Россия",Производство пива,-
,91.,"ПИВО ЖИВО, Пермь, Россия",Помощь в открытии пивных магазинов в России и за рубежом,-
,92.,"«П.И.Н.Т.А. КРАФТ» ООО, Воронеж, Россия",Компания «Пинта Крафт» с 2015 года на рынке пищевого оборудования из нержавеющих сталей,19
,93.,"«ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ» Издательство» ООО, Москва, Россия
  Генеральный информационный партнер Форума",Издательство представляет серию научно-производственных журналов для специалистов различных отраслей пищевой промышленности,131
,94.,"«ПИЩЕПРОМПРОДУКТ» ООО, Москва, Россия","Ферментные препараты компании «Новозаймс» (Дания) для производства пива, концентрата квасного сусла, кваса, ячменных сиропов; большой диапазон фильтр-картона, кизельгур различных марок, стабилизаторы, осветлители",89
,95.,"«ПОЛИФИЛЬТР Фирма» ООО, п. Селятино, Россия",Сертифицированное ёмкостное оборудование (танки),28
